word,most_similar_words
twink,"reclaim, speed, u, shit, shut, say, fuck, like, said, deny"
cocksucker,"grew, changed, page, em, floor, gave, cancer, cracker, check, overwatch"
shemale,
lesbo,
dyke,"gay, love, mongoloid, fat, hey, actually, mad, bro, dirty, game"
fairy,
autistic,"top, false, hair, nazi, level, women, tf, catch, fan, jews"
pédé,"sommes, commence, musulman, dessus, sale, ptdrrr, hein, sûrement, mdrrrr, racisme"
pédés,
femmes,"ont, ils, réfugiés, nous, se, du, vous, par, faire, entre"
femme,"mdr, faut, par, se, au, nous, complotiste, encore, entre, violence"
hommes,"rebeus, arabes, tous, les, des, autres, tout, qui, et, que"
homme,"sa, ton, ah, mes, vos, son, votre, te, qu'on, pr"
bizarre,"ceux, justement, renois, faute, nombre, suis, veulent, migrants, rebeux, comprends"
négro,
négros,"waited, salvador, refrigerator, 99, unfolding, voter, arrête, ptit, uncles, intenses"
nègre,"juif, droite, complot, passer, mis, etre, jamais, mort, faux, vous"
épicé,
Juif,
fagot,"leftists, due, fruit, مواضيع, apu, aucune, jones, heavy, attacks, track"
retarde,
imbécile,"gim, petit, charge, police, pass, d'une, anti, allez, votre, nazi"
crétins,
paralyser,
craquelin,
ok,
graisseur,
dos mouillé,
esclave,"monde, arabes, vrai, tous, sont, rebeus, tête, gens, blanc, surtout"
oréo,
chimpanzé,
Pocahontas,
peau rouge,
flocon de neige,
kiké,
ouais,"mdr, te, complotiste, encore, veux, par, rebeu, mon, rt, ces"
Oussama,
terroriste,"complotiste, par, au, entre, juif, se, rt, aux, qu'il, ils"
tête-à-tête,
mouton,
faible,"بـ, ريال, الاجانب, راه, tanik, ألا, added, انصح, accidentally, الحج"
désactivé,
monstre,
nain,"specifically, serieux, pensent, entendre, vive, avez, 31173, patrol, jsp, اوروبا"
mongo,"elvish, views, accent, article, average, clip, headass, passed, listening, teck"
retardé,"يكرهون, لايكون, يبكي, corse, متل, شكرا, بالعكس, كسم, أجل, للعلاج"
déformé,
putain,"lui, mais, ça, peu, il, une, même, moi, juste, être"
salope,
chienne,"avis, nord, wallah, perdu, russe, connais, vie, côté, jamais, dieu"
vieille sorcière,
chatte,"cela, fond, bas, signifie, travail, ptdr, ressemble, peur, croit, femme"
transsexuelle,
féminazi,
cocu,
barbe,"programme, regardez, dois, rire, attardés, seulement, sais, bah, ami, oui"
manteau,
soja,
piquer,"ouvre, essence, joueur, findomme, freddie, gamin, voices, tweeter, vapotes, امال"
lesbienne,"secret, paranoid, dirt, population, double, chris, واليمن, \n-, ancestors, interdit"
fruité,
toiletteur,
minet,
enfoiré,"14h, spontané, commentaire, mi-temps, lâcher, rhétorique, investir, lacrim, finlandais, pelo"
transexuelle,
digue,
fée,
autistique,
شاذ,"حرية, لماذا, م, عند, ضد, المرأه, دخل, بين, امرأة, ناس"
الشواذ,"تربية, ولم, كون, يبقى, الرجل, أصل, الوجه, افريقيا, إذا, وحدة"
نحيف,
امرأة,"اللاجئون, لما, افريقيا, أنا, وكل, بين, هذي, ولم, اللاجئين, منها"
الرجال,"انه, لم, رجال, وش, لكن, ا…, أن, عليه, بايره, به"
رجل,"حتى, او, غير, بعض, يعني, ؟, ع, مو, عشان, هي"
مثلي,
الكويري,
نيغا,
زنوج,
الزنوج,
زنجي,
متكلم بالإسبانية,
اليهودي,"انت, انتم, ولا, لا, أنت, لعنة, الخليج, والله, الكلب, ان"
شاذ جنسيا,
يؤخر,
المغفل,
البلداء,
تشل,
المفرقع,
جوك,
الشحام,
غرينغو,
جوسانو,
ويتباك,
عبد,"على, لا, خنازير, خنزير, ما, في, الله, انت, ولا, أنت"
أوريو,
الشمبانزي,
شركة مصفاة نفط عمان,
الهنود الحمر,
ندفة الثلج,
غوي,
كيك,
أسامة,
ارهابي,"منحرفة, يهود, متبرجه, له, اللاجئون, البنت, بين, ضد, بل, قال"
خرقة,
غنم,
خافت,
عاجز,
غريب الأطوار,
عائق,
مدمن,"شرب, يشرب, شاربي, ياشارب, خليك, شراب, شارب, شرف, ثم, الحمير"
قزم,
مونغ,
متخلف,"هل, زي, وانت, به, ولو, الرجال, انه, رجال, أو, لكن"
انفصام الشخصية,
سباز,
المترف,
متأخر,
المغول,
مشوه,
عاهرة,"منحرفة, متبرجه, قال, هندوس, إلى, ف, بين, له, متبرجة, بها"
وقحة,
شمطاء,
مهبل,
ترانزيستور,
بيمبو,
فيمينازي,
الديوث,
كوك,
لحية العنق,
مانليت,
فول الصويا,
وخز,
مثلية,"جو, الرجل, دور, اهم, اللاجئون, علشان, عندك, بين, اللاجئين, انتي"
فاكهي,
مربية,
طرفة عين,
الوغد,
خنثى,
شاذه,"لحم, قامت, الرجال, انتو, المغرب, علي, بني, امك, صورة, وعلى"
سد,
جنية,
متوحد,
