word,most_similar_words
hag,"hags, skank, perv, tramp, pervert, fagg, whore, fucktard, fag, dud"
cunt,"twat, prick, bastard, cunts, wanker, dickhead, faggot, fucker, asshole, bellend"
tranny,"shemale, ladyboy, tgirl, transsexual, transexual, cock, milf, porn, pornstar, crossdresser"
bimbo,"bori, bambino, blondie, mantecadas, italiano, piccolo, bollo, pan, gremlin, uomo"
feminazi,"中国産食品, muletilla, real-lies, verborrea, españolista, feminazis, americanism, gandalla, matrona, ょょぅι"
twat,"cunt, prick, wanker, bellend, dickhead, bastard, twats, cunts, bollocks, arse"
cuckold,"hotwife, interracial, femdom, cuck, swingers, chastity, cuckolding, nsfw, creampie, bdsm"
cuck,"cuckold, hotwife, cuckolding, sugga, babysister, succubus, goodt, shaggin, crossdresser, dogger"
neckbeard,"weeaboo, swagfag, toolbag, douchbag, monobrow, dickbag, windbag, smackhead, smarmy, asshat"
manlet,
soy,"eres, estoy, creo, jajaja, jajajaja, eso, tambien, jajajajaja, verdad, bueno"
prick,"cunt, twat, wanker, dickhead, bastard, bellend, arsehole, pricks, asshole, cunts"
lesbian,"lesbians, bisexual, gay, porn, lesbo, sex, threesome, horny, girl, dating"
fruity,"pebbles, loops, fruit, bubbly, grapes, sour, crunchy, froot, taste, frosted"
groomer,"groomers, grooming, scrubber, hairdresser, shaver, detailing, kennel, trimmer, steamer, kennels"
twink,"twinks, bareback, gayporn, cock, gayboy, gaysex, tranny, orgy, lesbian, interracial"
cocksucker,"turd, motherfucker, twat, cunt, cocksucking, dipshit, scumbag, licker, fucktard, lowlife"
shemale,"tranny, ladyboy, tgirl, transsexual, transexual, milf, cock, porn, busty, shemales"
lesbo,"lesbian, threesome, lesbians, kinky, lezbo, milf, gayboy, orgy, tranny, anal"
dyke,"butch, faggot, dykes, fag, cunt, dick, lesbian, chick, fagget, bitch"
fairy,"tale, tales, tail, fairytale, princess, fairies, magical, flower, cinderella, magic"
autistic,"autism, year-old, yr-old, at-risk, impaired, dementia, aspie, disabled, deaf, adopted"
attardé,"taré, teubé, zoophile, autiste, clodo, trisomique, handicapé, celui-là, illettré, traitre"
débile,"drôle, taré, inculte, bête, dégueulasse, conne, psychopathe, gogole, mongole, teubé"
baleine,"licorne, crevette, requin, moule, pingouin, carotte, phoque, dauphin, fourmi, poussin"
bête,"conne, drôle, pauvre, méchante, gentille, marrant, folle, méchant, enfant, débile"
boucaque,
boy,"girl, guy, kid, baby, dude, boys, man, boi, nigga, brother"
cafre,"mojigata, sangrona, despota, pajuo, resentida, metiche, pedante, flaite, tecato, pajua"
citron,"thé, sirop, fraise, framboise, pomme, menthe, vanille, tarte, chocolat, rhum"
clodo,"clochard, shlag, clocharde, touriste, psycopathe, taré, shlague, psychopate, épave, psychopathe"
crétin,"salopard, branleur, guignol, lapin, abruti, escroc, fourbe, teubé, inculte, boulet"
croquette,"croquettes, gratin, saucisse, beignet, husbandry, وسؤالك, couv, courgettes, tajine, gourmette"
fifi,"nadia, alya, lili, emy, tami, liana, nisa, tya, farah, kiki"
gueux,"minettes, etudiants, tapettes, salauds, nazes, coquilles, cochons, couillons, bordelais, ploucs"
handic,
légume,"légumes, carottes, soupe, patriote, déchet, concombre, éthique, démon, désert, sanglier"
négraille,
nègresse,
niakoué,
pd,"pada, pda, tp, krn, jd, lg, org, dr, di, yg"
pédale,"bouffonne, boufonne, gogole, bouffone, petasse, saloperie, conasse, teubé, blondasse, mongole"
pomme,"fraise, pommes, carotte, poire, purée, framboise, salade, terre, soupe, citron"
prostipute,
sauvage,"l'enfant, cochon, fantôme, fantome, vulgaire, noir, diabolique, métissé, feuj, romantique"
triso,"mongole, teubé, gogole, cassos, bolosse, trizo, trimard, bouffonne, blédarde, bledarde"
trisomique,"autiste, triso, psychopathe, trizo, loutre, consanguin, pédophile, handicaper, handicapée, constipé"
troon,"beatrix, koningin, koning, abdicatie, kroning, dwdd, inhuldiging, kroon, koningslied, penw"
tzigane,
youpinisation,
youtre,
Chinois,
fente,"seringue, quadrinha, frent, kbça, peñita, rakia, freente, frentee, seuf, frenti"
nègre,"negre, négro, négresse, salopard, pédé, traitre, juif, bougnoule, connard, tocard"
gitan,"roumain, zoulou, bledar, feuj, psychopathe, blédar, clodo, trizo, racaille, salopard"
prostituer,"prostitué, lyncher, prostituée, pouilleux, rembourser, deprimer, fourrer, droguer, tshoin, marabouter"
talonneur,
puma,"adidas, nike, converse, vans, umbro, polo, reebok, lacoste, supra, addidas"
vieille femme,
coquine,"cochonne, coquin, connasse, vilaine, mignonne, gamine, sérieuse, maline, rigolote, douée"
pédé,"salopard, teubé, autiste, pédale, traitre, traître, couillon, tocard, bougnoule, poufiasse"
pédés,"gauchistes, blaireaux, feujs, abrutis, politiciens, socialos, couillons, fumeurs, ploucs, incultes"
femmes,"hommes, filles, femme, jeunes, enfants, mecs, autres, belles, meufs, elles"
femme,"fille, homme, femmes, l'homme, meuf, elle, petite, une, jeune, copine"
hommes,"femmes, filles, garçons, mecs, jeunes, enfants, aiment, autres, sont, certains"
homme,"femme, l'homme, fille, jeune, enfant, femmes, garçon, mec, hommes, est"
bizarre,"bizzare, chelou, genre, truc, strange, trouve, vu, fait, tellement, drôle"
négro,"négros, babtou, renoi, nègre, connard, salopard, bâtard, negresse, bouffon, batard"
négros,"négro, marchent, rappeurs, vrais, fragiles, rageux, dépressifs, haineux, lapins, abrutis"
nègres,"négresses, gogoles, gitans, tocards, bouffons, clochards, bouffonnes, connasses, ploucs, petasses"
épicé,"pimenté, sucré, steack, cuisiné, épices, mafé, rôti, foufou, crevettes, sucrée"
Juif,
fagot,"fagget, faggit, faget, dipshit, gayy, fucktard, asswipe, crazzy, stuped, oogly"
retarde,"spoile, retarder, テストやばい, sociocultural, despo, doblaba, fuckken, dilaraya, animu, categorical"
imbécile,"gogole, mongole, abruti, bouffonne, boufonne, bouffon, enfoiré, espèce, bouffone, conasse"
crétins,"lapins, blaireaux, abrutis, tocards, bouffons, couillons, gauchistes, merdeux, tarés, connards"
paralyser,
craquelin,
ok,"okay, sorry, hahah, okey, yeah, lol, haha, hahahah, hahaha, okok"
graisseur,
dos mouillé,
esclave,"mouton, marcher, esclaves, maitresse, couru, chameau, bonhomme, courru, soumis, enfant"
oréo,"oréos, dragibus, carottes, chocolat, tagada, gâteau, fraise, nounours, angolais, fraises"
chimpanzé,"trombadinha, corpao, ingual, monstrinho, macaquinho, piruca, ratazana, corpão, tiranossauro, keajaibannya"
Pocahontas,
peau rouge,
flocon de neige,
kiké,
ouais,"ouai, oui, mdrr, mdr, mdddr, mddr, mddddr, alors, donc, voilà"
Oussama,
terroriste,"islamiste, policier, juif, sioniste, raciste, musulman, voyou, salafiste, pédophile, terrorisme"
tête-à-tête,
mouton,"troupeau, cochon, chien, moutons, pingouin, singe, esclave, moule, cheval, roumain"
faible,"batterie, faibles, n'es, reste, n'est, assez, peut, personne, dangereux, aussi"
désactivé,"désactiver, desactiver, réactiver, réactivé, supprimé, enlevé, desactivé, abandonné, désac, désactive"
monstre,"géant, monstres, cadavre, tueur, affreux, dégueulasse, sorcier, monstrueux, babouin, gosse"
nain,"lapin, zizi, chien, juif, canard, roux, petit, noir, dromadaire, arabe"
mongo,"monga, sonso, retardado, lumpa, lerdo, troxa, bocó, folgado, abobado, imbecil"
retardé,"repoussé, envisagé, annulé, distribué, attaqué, divisé, dénoncé, écarté, estimé, tabassé"
déformé,"déformer, favorisé, modifié, remixé, bousillé, chamboulé, ressorti, moisi, effacé, gaté"
putain,"merde, bordel, ptdr, j', mdr, j'ai, c'est, sérieux, ça, même"
salope,"pute, connasse, conasse, chienne, connard, conne, gamine, grosse, gueule, meuf"
chienne,"salope, connasse, pute, conasse, gamine, chien, vieille, bouffone, petasse, vielle"
vieille sorcière,
chatte,"salope, teub, pute, geule, chienne, bouche, gueule, grosse, boule, fesse"
transsexuelle,
féminazi,
cocu,"احسسك, celibataire, virer, cadavre, baisé, anonyme, viré, iench, pompier, entrer"
barbe,"raser, cheveux, rasé, pousser, peau, poils, chevelure, crête, casquette, rousse"
manteau,"écharpe, doudoune, tee-shirt, bottes, débardeur, echarpe, capuche, fourrure, bonnet, chemise"
soja,"armandinho, rappa, pollo, maíz, tomate, arroz, fritas, maiz, milanesas, safra"
piquer,"bouffer, frapper, virer, tuer, casser, gratter, ramener, choper, saouler, attraper"
lesbienne,"hétéro, zoophile, lesbiennes, vulgaire, homosexuel, fille, devenue, turque, devenir, renoi"
fruité,
toiletteur,
minet,"chamallow, mirlo, retraité, hassa, bolide, pichon, butz, sanglier, pavés, truncado"
enfoiré,"enculé, enflure, enfoirer, connard, enfoire, bâtard, conasse, salaud, salopard, batard"
transexuelle,
digue,"digua, dielu, terbelit, pulaak, joséphine, guua, dibb, emangnya?rt, gataau, alive.ni"
fée,"ménage, clochette, vaisselle, cuisinière, patte, sucrée, coccinelle, fées, pâte, bonté"
autistique,
زب,"طيز, كس, ممحونه, قحبه, فحل, نيك, خنيث, عير, سحاق, مص"
شرموطة,"مصرية, قحبة, شرموطه, نيك, متناكة, ممحونة, كس, طيز, زب, مص"
شرموط,"これは許されない, خول, primeroeltrasnoshow, عرص, ماسوني, العرص, แค่นี้ก็พอแล้ว, فالاخر, عشانك_يا, طفولة_مشردة"
قحبة,"كس, قحبه, قحاب, مكوة, ممحونة, سحاقيات, طيز, خنيث, نيك, شرموطة"
طحان,
com.chinaman,
ثغر,"أھلي, ضحكہ, اﻟقلب, nوحقق, يذن, 여기자, الصباحات, يكررها, البسمه, göstersin"
زنجي,
غجري,
عاهرة,"فاجرة, عاهره, ليبرالية, ايرانيه, متناكة, عراقية, امراة, سوريه, فاجره, مطلقة"
طراز كوغار,
حيزبون,
هاسي,
هو,"nهو, الذي, وهو, هوا, ماهو, nnهو, انه, هي, الوحيد, ده"
شاذ,"جنسيا, جنسياً, كوري, متخلف, فقراوي, زنديق, موهوب, ضال, ملحد, فنان"
الشواذ,"المثليين, القساوسة, الهمج, جنسيا, الفلسطينين, الأقليات, الموظفات, المذيعات, إلاخوان, الرعاع"
نحيف,"مبادل, جاد, اسمر, دفيع, وسيم, مشعر, وزني, ناعم, وجاد, ابيض"
امرأة,"إمرأة, امرأه, رجل, فتاة, النساء, امراة, المرأة, أنثى, إمرأه, أمرأة"
الرجال,"النساء, رجال, الرجل, الحريم, المرأة, رجل, البنات, نساء, والنساء, والرجال"
رجل,"امرأة, أنثى, رجال, شاب, الرجل, انثى, إمرأة, nرجل, رجلٌ, لرجل"
مثلي,"زيي, مثلك, غيري, مثله, بالضبط, انتم, يبيني, nnانتم, مثلنا, والا"
الكويري,
نيغا,
زنوج,
الزنوج,
متكلم بالإسبانية,
اليهودي,"الصهيوني, اللوبي, الأمريكي, المسيحي, سبأ, الاسرائيلي, الإسرائيلي, الشيعي, المفكر, الفارسي"
شاذ جنسيا,
يؤخر,"نفسا, يحرمك, أجلها, جاء, وكالقائم, نصركم, أمرا, ελληνικού, وكالصائم, بإرادة"
المغفل,"الهش, بالكلب, المسخ, الزلمة, الطبال, المتخلف, ووطنك, المعتوه, وتذكّر, القدساوي"
البلداء,
تشل,"تبتر, تقتلع, مقرفة, チャクラ, الشعبين, مستفزة, صنعتها, الكراهية, hamamda, pototo"
المفرقع,
جوك,"جوي, جوّك, جوكم, جوج, جوكك, يسعدلي, جوه, الجو, الجوو, هالصباح"
الشحام,
غرينغو,
جوسانو,
ويتباك,
عبد,"محمود, أحمد, بن, عبدالله, احمد, عمرو, حسين, عبدالعزيز, عبدالرحمن, خالد"
أوريو,"horoscoop, اوريو, بالفرنسية, تعهدات, ﺍﻟﺤَﻴﺎﺓ, قهره, الهدنة, لمناهضة, decyzji, ﺃﻧﺘﻲ"
الشمبانزي,
شركة مصفاة نفط عمان,
الهنود الحمر,
ندفة الثلج,
غوي,
كيك,"الكيك, كب, تشيز, الكب, التشيز, كييك, انستقرام, كوكيز, البيبي, بيبي"
أسامة,"اسامة, اسامه, هوساوي, المولد, أحمد, حسين, أسامه, عقيل, الكابتن, السيد"
ارهابي,"إرهابي, تكفيري, بلطجي, وهابي, ارهابى, مرتزق, عميل, متطرف, ارهاب, طائفي"
خرقة,
غنم,"راعي, الغنم, تكسي, سوداني, تسرحه, تطوع, 田母神俊雄, حفريات, ครั้งแรก, أغنام"
خافت,"خآفت, ضوء, noooooooooossa, خائفه, ownnt, تسبده, элеонор, كلمةٌ, tattoan, خقت"
عاجز,"عاجزه, احشم, عاجزة, التعبير, أحشم, ебеня, متحفظ, أجنب, لكني, مقامي"
غريب الأطوار,
عائق,"وتسير, عقبة, العقبات, اجتهدت, مايُمكنُك, ووضعه, 마법을, عائقا, 周りをめっちゃ叩きます, n遊びたい"
مدمن,"مدمنة, مدمنه, مخدرات, الجاني, هيروين, مازلتُ, عايش, عيمي, عاشق, للإطمئنان"
قزم,"معضل, يتمشى, خكري, صعيدى, لحمية, تخين, خطيير, فنقر, اقرع, خليته"
مونغ,
متخلف,"منحط, عنصري, اهبل, غبي, رجعي, مجتمع, عبيط, متطرف, شاذ, مطبل"
انفصام الشخصية,
سباز,
المترف,"çıkaramaz, chuchadas, المز, imkanın, comites, فايزة, liesel, fredd, hissetmeyeni, بالوجوه"
متأخر,"متاخر, بدري, الدوام, نمت, مبجر, تلقاهم, انام, ارد, أنام, متأخره"
المغول,"التتار, الالمان, هولاكو, والعلمانيين, جحافل, عقر, وكناين, بسقوط, الأموي, والاحتلال"
مشوه,"مشوهه, ملمع, كاره, لايمت, もう嫌や, مقارب, 残念だなー, 重いな, مخل, انتصارا"
وقحة,"بغية, لمحاولة, وقحه, محترفة, حضارية, وجرح, صائمة, يمنيه, فلسطينية, رخمة"
شمطاء,"ステラライズ, هزيلة, بطوطه, nギルドの仲間と力を合わせてモンスターを, 楽器買取, 死ぬまで故郷の空気を胸に抱えて生きている, kapencet, nと言い回ってってアイスコーヒー吹いた, すると中国の愛国者に, shekf"
مهبل,"مجتمعين, مهابيل, الطبيعه, فيييه, انهبل, مالومه, أذكياء, الفقراويه, وسخين, jjjjja"
ترانزيستور,
بيمبو,
فيمينازي,
الديوث,"الفحل, ديوث, الممحون, القحبة, الصعلوك, العرص, السافل, nnمنو, الطبال, القحبه"
كوك,"تيم, وون, دريم, لكون, لامؤاخذه, جونغ, نيو, اتش, زيرو, روفر"
لحية العنق,
مانليت,
فول الصويا,
وخز,"والاكيد, nbilal, وبدايه, okay., المُتعَافِي, hueheuheu, aku., месяцы, sesungguhnye, sonharei"
مثلية,
فاكهي,
مربية,"وخادمة, وطاهية, صبابه, مربيه, نفسيًا, سميرة, عقليا, الهزائم, nnهكذا, مفارش"
طرفة عين,
الوغد,"النجس, المعتوه, الصعلوك, الهلامي, التسلب, الجاسوس, الفاشي, اللعين, المنحوس, النتن"
خنثى,
شاذه,"شهوه, من_حقي_كطالبة, حلطمه, محنه, fantasticvip, التويته_السابقه, актаусуд, المسجد_الاقصى, في_كل_مناسبه_سعوديه, مربربات"
سد,"اثيوبيا, النهضة, مصنع, وادي, السد, النهضه, الذرائع, أزمة, جسر, النيل"
جنية,"جنيه, استرليني, دينار, ليرة, دولار, إسترليني, مليون, مليار, مليارات, درهم"
متوحد,"بوخالد, لآل, مارسيل, ياأرض, كاميليا, العتيق, knowitall, tropeçando, للدكتورة, طوني"
