word,most_similar_words
cuckold,"lecher, cuckolded, cuckolds, boor, roue, lech, Iachimo, serial_seducer, goatish, miserable_wretch"
cuck,
neckbeard,"Oww, lard_ass, chrome_dome, uni_brow, Heh_heh_heh_heh, young'n, jabroni, dickie, whatta, merkin"
manlet,
soy,"soya, soybean, Soy, soy_bean, corn, GRAINS_AND_SOYA_Grains, soy_protein, natto_fermented, soybeans, soya_bean"
prick,"pricks, pricking, pricked, calloused_fingertips, pin_prick, dick, spouting_nonsense, Pricking, Prick, arsehole"
lesbian,"gay, lesbians, LGBT, transgender, transgendered, GLBT, gay_lesbian, gays, queer, transsexual"
fruity,"citrusy, grapey, oaky, citrus_flavors, fruity_spicy, appley, blackberry_flavors, roasted_malt, fruity_flavors, fruitiness"
groomer,"groomers, Pisten_Bully, Groomers, grooming_salon, pet_groomer, dog_groomer, pet_sitter, grooming, Groomer, farrier"
twink,"twinks, fag_hags, horny, schlong, tattooed_pierced, butches, titted, shaved_pussy, lesbos, coochie"
cocksucker,"assclown, fucking_fagot, motherfucker, poofter, Heh_heh_heh, shitbag, simp, f_-----_g, f_cking, asshole"
shemale,"tgp, sucking_dick, pussy_licking, shemales, sylvia_saint, cum_facials, kyla_cole, hentai_porn, pornstars, japanese_porn"
lesbo,"fag_hags, lesbos, skank, butch_femme, trannie, butches, skanky, slut, lezzie, Sapphic"
dyke,"dykes, dike, dikes, silicified_rhyolite, spodumene_bearing, norite, embankments, Parkin_Offset, polders, Changkai_section"
fairy,"fairies, faerie, faeries, magical_fairy, faery, pixies, fairy_godmother, Fairy, witch, fairy_princess"
autistic,"autism, Autistic, autism_spectrum_disorder, Asperger, autism_spectrum, developmentally_delayed, autism_spectrum_disorders, severely_autistic, Autism, Down_syndrome"
attardé,
débile,
baleine,
bête,"du_temps, plaisir, siècle, un_peu, n'est_pas, heure, couleur, très_bien, c'est_la, un_homme"
boucaque,
boy,"girl, teenager, toddler, teenage_girl, man, teen_ager, son, kid, youngster, stepfather"
cafre,
citron,"apricot, lemon_grapefruit, pineapple_guava, loquat, mandarin_orange, starfruit, juniper_berry, pink_grapefruit, pear_apple, peach_nectar"
clodo,
crétin,
croquette,"grilled_polenta, creamy_polenta, roasted_parsnips, brandade, garlic_mayo, sour_cream_sauce, caramelized_onion, potato_hash, veal_cutlet, grilled_scallops"
fifi,
gueux,
handic,
légume,
négraille,
nègresse,
niakoué,
pd,"maint, houston, austin, exc, pw, murphy, corpus_christi, rp, jennings, clark"
pédale,
pomme,"pommes, galette, oeufs, boeuf, almond_tart, tartine, velouté, haricots_verts, crème_brulée, salade"
prostipute,
sauvage,"la_belle, le_petit, incroyable, l'_homme, Anglais, monstre, haut, coq, vacances, Je_vous"
triso,
trisomique,
troon,
tzigane,
youpinisation,
youtre,
Chinois,"French_brasserie, Bistrot, Degustation, La_Coupole, Izakaya, DB_Bistro_Moderne, La_Grotta, Toqué, bistro, Le_Bistro"
fente,
nègre,
gitan,
prostituer,
talonneur,
puma,"panther, pumas, spectacled_bear, tufted_ears, cougar, coatis, pine_marten, cheetah, coati, jaguars"
vieille femme,
coquine,
pédé,
pédés,
femmes,"femme, fatales, butches, gals, Femme, hommes, fem, Femmes, vixens, seductresses"
femme,"femmes, fatale, butches, fem, babelicious, nymphet, butch_femme, lesbo, Femme, vampy"
hommes,"personnes, du_bon, autres, jeunes, cinq, les_sont, est_en, ne_pas, monde, elle_est"
homme,"l'_homme, une_bonne, n'est_pas, meilleur, que_cette, histoire, quoi, Il_faut, monde, C'est_un"
bizarre,"strange, bizzare, baffling, peculiar, comical, wacky, weird, farcical, outlandish, surreal"
négro,
négros,
nègres,
épicé,
Juif,
fagot,"n_****_r, f_****_t, fagots, nigger, f_*_ggot, homophobic_slurs, slut, expletive, n_*_gger, homophobic_slur"
retarde,
imbécile,
crétins,
paralyser,
craquelin,
ok,"okay, alright, OK, lol, anyways, hey, Ok, allright, thats, yeah"
graisseur,
dos mouillé,
esclave,
oréo,
chimpanzé,
Pocahontas,"Sen._Walt_Helmick, Powhatan, newcomer_Q'Orianka_Kilcher, Cherokee, Pocohontas, Pocahantas, Q'Orianka_Kilcher, Chickasaw, POCAHONTAS_AR_KAIT, Maysville"
peau rouge,
flocon de neige,
kiké,
ouais,
Oussama,"Eddine, Aymen, Abou_el, Khaled, Muwaffaq, Omr, Hamdy, Nehad, Aboul, Moftah"
terroriste,
tête-à-tête,
mouton,
faible,"bien_que, dans_cette, est_l', à_ce, c'est_la, investisseurs, qu'elle, voulez, entre_la, de_notre"
désactivé,
monstre,"Je_vous, C'est_un, plaisir, incroyable, tout_le_monde, fantastique, l'_homme, Je_suis, sauvage, pauvre"
nain,"gaane, Tujhe, maaf, baat, zindagi, dukh, Tere_Ishq, saari, chalte, ki_hai"
mongo,"kamote, manok, viand, bulalo, tuyo, lechon_manok, taho, supa, saging, camote_sweet_potato"
retardé,
déformé,
putain,
salope,
chienne,
vieille sorcière,
chatte,
transsexuelle,
féminazi,
cocu,
barbe,
manteau,"trouser_suits, galabeya, hijab_headscarf, qipao, hejab, foulard, headscarves, dishdasha, silk_tunic, jabot"
soja,"Soya_beans, camote, kamote, camu_camu, esculenta, guinea_corn, talong, kangkong, locust_bean, matar"
piquer,
lesbienne,
fruité,
toiletteur,
minet,
enfoiré,
transexuelle,
digue,
fée,
autistique,
زب,
شرموطة,
شرموط,
قحبة,
طحان,
com.chinaman,
ثغر,
زنجي,
غجري,
عاهرة,
طراز كوغار,
حيزبون,
هاسي,
هو,
شاذ,
الشواذ,
نحيف,
امرأة,
الرجال,
رجل,
مثلي,
الكويري,
نيغا,
زنوج,
الزنوج,
متكلم بالإسبانية,
اليهودي,
شاذ جنسيا,
يؤخر,
المغفل,
البلداء,
تشل,
المفرقع,
جوك,
الشحام,
غرينغو,
جوسانو,
ويتباك,
عبد,
أوريو,
الشمبانزي,
شركة مصفاة نفط عمان,
الهنود الحمر,
ندفة الثلج,
غوي,
كيك,
أسامة,
ارهابي,
خرقة,
غنم,
خافت,
عاجز,
غريب الأطوار,
عائق,
مدمن,
قزم,
مونغ,
متخلف,
انفصام الشخصية,
سباز,
المترف,
متأخر,
المغول,
مشوه,
وقحة,
شمطاء,
مهبل,
ترانزيستور,
بيمبو,
فيمينازي,
الديوث,
كوك,
لحية العنق,
مانليت,
فول الصويا,
وخز,
مثلية,
فاكهي,
مربية,
طرفة عين,
الوغد,
خنثى,
شاذه,
سد,
جنية,
متوحد,
